company,date,time,language,liked,retweet,id,text
$SPX,2017-03-03,Fri Mar 03 20:01:14,en,17,32,837754762997170176,"Based on Wednesday close, the forward 12-month P/E ratio for $SPX is 17.9. https://t.co/BffbUAtvjJ https://t.co/NF7r9BRZPE"
$SPX,2017-03-03,Sat Feb 25 02:45:52,en,171,166,835319877632212993,"S&amp;P 500: 48 straight days without a 1% intraday move, the most peaceful market in history. $SPX #serenitynow https://t.co/tyU39I7Pz8"
$SPX,2017-03-03,Fri Mar 03 17:15:33,en,18,16,837713064254402561,"Of 105 $SPX companies issuing EPS guidance for Q117, 75 (or 71%) have issued negative guidance.… https://t.co/8hPigYrmZF"
$SPX,2017-03-03,Fri Mar 03 23:56:13,en,0,17,837813895838343168,"RT @FactSet: As its bottom-up EPS estimate dropped 3.1% during the first two months of Q1, the value of $SPX rose 5.6%. https://t.co/BffbUA…"
$SPX,2017-03-03,Fri Mar 03 23:47:50,en,0,7,837811786430701568,RT @SharePlanner: These Friday rallies on $SPX are turning into a work of art.
$SPX,2017-03-03,Fri Mar 03 23:47:12,en,0,32,837811629291089920,"RT @FactSet: Based on Wednesday close, the forward 12-month P/E ratio for $SPX is 17.9. https://t.co/BffbUAtvjJ https://t.co/NF7r9BRZPE"
$SPX,2017-03-03,Fri Mar 03 23:46:40,en,0,2,837811493915791361,".@SpeakerRyan calls a border adjustment tax, ""very important""

$SPY $SPX"
$SPX,2017-03-03,Fri Mar 03 23:39:07,en,0,17,837809591903744004,"RT @FactSet: As its bottom-up EPS estimate dropped 3.1% during the first two months of Q1, the value of $SPX rose 5.6%. https://t.co/BffbUA…"
$SPX,2017-03-03,Fri Mar 03 23:37:29,en,0,1,837809183206457344,change in account value since 12/31/16: 13.4% (vs. the $SPX's 6.4%)…change in account value since 12/31/10: 312.4% (vs. the $SPX's 89.5%)
$SPX,2017-03-03,Fri Mar 03 23:34:13,en,0,4,837808358761590786,"RT @CNBCClosingBell: Major averages end the week higher:

S&amp;P 500 and Nasdaq up for the sixth straight week!

$DJI $SPX $IXIC https://t.co/…"
$SPX,2017-03-03,Fri Mar 03 23:34:13,en,0,1,837808358346395648,"RT @steve_desaul: Major averages end the week higher:

S&amp;P 500 and Nasdaq up for the sixth straight week!

$DJI $SPX $IXIC https://t.co/2Wd…"
$SPX,2017-03-03,Fri Mar 03 23:34:12,en,0,2,837808355091574785,RT @pensionpartners: Just How Bullish is Small-Cap Strength? https://t.co/kAR4SgBHfL $RUT $SPX #stocks
$SPX,2017-03-03,Fri Mar 03 23:34:12,en,0,2,837808354584047616,RT @macroalgo: S&amp;P 500 with a potential correction comming https://t.co/Azjeco4KE7 $SPX
$SPX,2017-03-03,Fri Mar 03 23:34:11,en,0,1,837808353761898497,"RT @KevinKingsbury: Yes, US stocks are expensive. Can't ignore P/E when it's inconvenient. $SPX https://t.co/nDZ1Z39Zvt via @WSJMoneyBeat"
$SPX,2017-03-03,Fri Mar 03 23:34:11,en,0,1,837808353199915010,"RT @TalkMarkets: S&amp;P 500 And Nasdaq 100 Forecast - Friday, March 3 $QQQ $SPX https://t.co/8E1ndQEjnH"
$SPX,2017-03-03,Fri Mar 03 23:34:11,en,0,3,837808352751136770,"RT @JLyonsFundMgmt: ICYMI&gt;ChOTD-3/3/17  Poor Close Ends Record Run For Stocks $SPY $SPX
Post: https://t.co/VSgSiSk6gt https://t.co/RMW44XKC…"
$SPX,2017-03-03,Fri Mar 03 23:26:48,en,0,4,837806492619190272,"RT @FZucchi: Credit/derivs still jamming bears; 3m $VIX @ a ""very complacent"" +4.5. There's a p/back out there.. somewhere... eventually...…"
$SPX,2017-03-03,Fri Mar 03 23:23:54,en,0,88,837805762470608896,RT @BVZ_Investools: 152 new $SPX highs! Best level since 2014. $XLV &amp; $XLU resilient. $XLI now out of top 4. #TopDownThermometer #Investool…
$SPX,2017-03-03,Fri Mar 03 23:18:48,en,0,0,837804479659585537,How Best Buy Stock Reacted to Mixed 4Q Results and Weak Outlook https://t.co/QU8N5zn6xI $BBY $GME $AAN $SPX
$SPX,2017-03-03,Fri Mar 03 23:17:33,en,1,0,837804167091519488,"@apieceofschmidt as long as support holds, 2420s $spx next. https://t.co/mtyHI22H11 gets dicey"
$SPX,2017-03-03,Fri Mar 03 23:16:49,en,0,0,837803981522915330,@gettoefl do you have $SPX chart
$SPX,2017-03-03,Fri Mar 03 23:08:16,en,0,11,837801828649742336,"RT @TN: some charts showing current US stock market #valuation (imho the most important is price to sales, median $SPX 2.4)

https://t.co/b…"
$SPX,2017-03-03,Fri Mar 03 23:06:28,en,0,0,837801375983669248,digr_io RT Puru__Saxena: My primary trend filter remains in an UPTREND and I'm fully invested with no hedges in place. $SPX $SPY
$SPX,2017-03-03,Fri Mar 03 23:05:15,en,7,2,837801068792795137,7-Year Forecasts https://t.co/HyrPWsxcyU #stocks $SPX
$SPX,2017-03-03,Fri Mar 03 23:04:19,en,0,2,837800837766332416,RT @Puru__Saxena: My primary trend filter remains in an UPTREND and I'm fully invested with no hedges in place. $SPX $SPY
$SPX,2017-03-03,Fri Mar 03 23:03:31,und,0,0,837800636007743488,"https://t.co/gptkl8vwz5
$spx"
$SPX,2017-03-03,Fri Mar 03 23:02:41,ro,0,1,837800426552582145,"RT @faCefinancial: #dowjones #Elliottwave Update
$dow son güncellleme
&gt; 20805+ 215xx+ 23240
&lt; 20624+ 20271+ 19677
#DJI $DJIA #SPX #fxtradin…"
$SPX,2017-03-03,Fri Mar 03 23:01:02,en,10,2,837800008342626304,My primary trend filter remains in an UPTREND and I'm fully invested with no hedges in place. $SPX $SPY
$SPX,2017-03-03,Fri Mar 03 23:00:24,en,0,0,837799851006046208,"S&amp;P $SPX Price Pattern Coordinates Chart close
Time Price 6UA 3DA Area 6/0
Positive Divergence 233=SIG2 MACD3 HISTO… https://t.co/EF93qIOR12"
$SPX,2017-03-03,Fri Mar 03 22:58:08,en,0,2,837799279599181824,RT @pensionpartners: Just How Bullish is Small-Cap Strength? https://t.co/kAR4SgBHfL $RUT $SPX #stocks
$SPX,2017-03-03,Fri Mar 03 22:55:07,en,0,0,837798519150940160,#ElliottWave Count &amp; Analysis Video for 13 Major #Markets &gt;&gt; #Forex $Oil $Gold $SPX $NDX #DAX &gt;&gt;… https://t.co/loUFfn2EXt
$SPX,2017-03-03,Fri Mar 03 22:54:38,en,0,0,837798399495782401,$Dow  $spx  $Nasdaq https://t.co/3M0G4Kqaf9
$SPX,2017-03-03,Fri Mar 03 22:51:02,en,0,3,837797494180483073,"RT @JLyonsFundMgmt: ICYMI&gt;ChOTD-3/3/17  Poor Close Ends Record Run For Stocks $SPY $SPX
Post: https://t.co/VSgSiSk6gt https://t.co/RMW44XKC…"
$SPX,2017-03-03,Fri Mar 03 22:50:15,en,1,2,837797294867103744,Just How Bullish is Small-Cap Strength? https://t.co/kAR4SgBHfL $RUT $SPX #stocks
$SPX,2017-03-03,Fri Mar 03 22:47:22,pt,0,1,837796569596444673,RT @pardoTRADER: Fechamento gráfico diário $SPX #SP500 https://t.co/wm3aGFBYUJ
$SPX,2017-03-03,Fri Mar 03 22:47:01,en,0,2,837796484040925185,"RT @EconCalend: S&amp;P 500 Futures Mildly Higher as #Yellen Puts March Rate Hike on the Table
https://t.co/UCXVPLoPA4
$SPX $SPY #SP500"
$SPX,2017-03-03,Fri Mar 03 22:45:51,en,0,32,837796187566653440,"RT @FactSet: Based on Wednesday close, the forward 12-month P/E ratio for $SPX is 17.9. https://t.co/BffbUAtvjJ https://t.co/NF7r9BRZPE"
$SPX,2017-03-03,Fri Mar 03 22:45:11,en,0,7,837796022390820865,"RT @hedgopia: #Hedgefunds ↑ $SPX net longs to 23-week high. Cash jumps to new high Wed, closes wk well off highs. $SPY https://t.co/Q3qVjKJ…"
$SPX,2017-03-03,Fri Mar 03 22:44:27,en,0,88,837795838151766017,RT @BVZ_Investools: 152 new $SPX highs! Best level since 2014. $XLV &amp; $XLU resilient. $XLI now out of top 4. #TopDownThermometer #Investool…
$SPX,2017-03-03,Fri Mar 03 22:43:34,en,1,2,837795612200419328,S&amp;P 500 with a potential correction comming https://t.co/Azjeco4KE7 $SPX
$SPX,2017-03-03,Fri Mar 03 22:42:58,en,0,3,837795464913256452,"RT @JLyonsFundMgmt: ICYMI&gt;ChOTD-3/3/17  Poor Close Ends Record Run For Stocks $SPY $SPX
Post: https://t.co/VSgSiSk6gt https://t.co/RMW44XKC…"
